id;att_org_id;name;reg_num;factory_num;fac_ids;si_err
68;0;Калибратор акустический «Защита-К»;47740-11;57213;5;"±0,4%; ±0,6%"
70;0;Калибратор акустический «Защита-К»;47740-11;55113;5;"±0,4%; ±0,6%"
72;0;Калибратор акустический «Защита-К»;47740-11;82815;5;"±0,4%; ±0,6%"
74;0;Шумомер-виброметр, анализатор спектра ЭКОФИЗИКА-110А;48906-12;БФ150212;5;"Шум: ±0,7дБ; Вибрация: ±0,3дБ"
121;0;Измеритель параметров микроклимата «Метеоскоп-М»;32014-11;346418;5;"Температура-±0,2; относительная влажность-±0,3; скорость в диапазоне от0,1 до 1 м/с - ±(0,05+0,05V), скорость в диапазоне от 0,1 до 20м/с - ±(0,1+0,05V); Давление воздуха, кПа - ±0,13 (±1)"
136;0;Измеритель параметров микроклимата «Метеоскоп-М»;32014-11;349218;5;"Температура-±0,2; относительная влажность-±0,3; скорость в диапазоне от0,1 до 1 м/с - ±(0,05+0,05V), скорость в диапазоне от 0,1 до 20м/с - ±(0,1+0,05V); Давление воздуха, кПа - ±0,13 (±1)"
149;0;Анализатор шума и вибрации АССИСТЕНТ;39671-08;287018;5;"Шум: ±0,7дБ; Вибрация: ±0,3дБ"
172;0;Измеритель микроклимата «ЭкоТерма-1»;49002-12;130250;5;"Температура: ±0,2?С - ±0,3?С; Влажность ±2,0% - ±3,0%"
187;0;Термоанемометр ТТМ-2-04;44377-10;2852;5;не более ± (0,05 + 0,05V) м/c, где V – измеренная скорость потока, м/c
201;0;"Калибратор акустический ""Защита-К""";47740-11;122616;5;"±0,4%; ±0,6%"
11;0;Измеритель параметров микроклимата «Метеоскоп-М»;32014-11;86613;6;"Температура-±0,2; относительная влажность-±0,3; скорость в диапазоне от0,1 до 1 м/с - ±(0,05+0,05V), скорость в диапазоне от 0,1 до 20м/с - ±(0,1+0,05V); Давление воздуха, кПа - ±0,13 (±1)"
26;0;Измеритель параметров микроклимата «Метеоскоп-М»;32014-11;93513;6;"Измерение температуры: ±0,20С; измерение относительной влажности: ±3,0%;измерение скорости движения воздуха: ±0,05-0,05V м/с (в диапазоне от 0,1 до 1 м/с), ±0,1+0,05V м/с (в диапазоне от 1 до 20 м/с); измерение ТНС-индекса: ±0,20С"
47;0;Анализатор шума и вибрации АССИСТЕНТ;39671-08;157413;6;"Шум: ±0,7дБ; Вибрация: ±0,3дБ"
52;0;Анализатор шума и вибрации АССИСТЕНТ;39671-08;162113;6;"Шум: ±0,7дБ; Вибрация: ±0,3дБ"
57;0;Анализатор шума и вибрации АССИСТЕНТ;39671-08;197114;6;"Шум: ±0,7дБ; Вибрация: ±0,3дБ"
